[11:18:04,248] [INFO] ServerMain.main --> 服务器启动成功
[11:50:20,591] [INFO] ServerMain.main --> 服务器启动成功
[12:16:22,756] [INFO] GameMsgRecognizer.init --> {0} <====> {1}
[12:16:22,783] [INFO] GameMsgRecognizer.init --> {0} <====> {1}
[12:16:22,783] [INFO] GameMsgRecognizer.init --> {0} <====> {1}
[12:16:22,783] [INFO] GameMsgRecognizer.init --> {0} <====> {1}
[12:16:22,783] [INFO] GameMsgRecognizer.init --> {0} <====> {1}
[12:16:22,783] [INFO] GameMsgRecognizer.init --> {0} <====> {1}
[12:16:22,785] [INFO] GameMsgRecognizer.init --> {0} <====> {1}
[12:16:22,785] [INFO] GameMsgRecognizer.init --> {0} <====> {1}
[12:16:22,785] [INFO] GameMsgRecognizer.init --> {0} <====> {1}
[12:16:22,785] [INFO] GameMsgRecognizer.init --> {0} <====> {1}
[12:16:22,785] [INFO] GameMsgRecognizer.init --> {0} <====> {1}
[12:16:22,786] [INFO] GameMsgRecognizer.init --> {0} <====> {1}
[12:16:22,786] [INFO] GameMsgRecognizer.init --> {0} <====> {1}
[12:16:52,299] [INFO] GameMsgRecognizer.init --> 0 <====> USER_ENTRY_CMD
[12:16:52,317] [INFO] GameMsgRecognizer.init --> 1 <====> USER_ENTRY_RESULT
[12:16:52,317] [INFO] GameMsgRecognizer.init --> 2 <====> WHO_ELSE_IS_HERE_CMD
[12:16:52,318] [INFO] GameMsgRecognizer.init --> 3 <====> WHO_ELSE_IS_HERE_RESULT
[12:16:52,318] [INFO] GameMsgRecognizer.init --> 4 <====> USER_MOVE_TO_CMD
[12:16:52,318] [INFO] GameMsgRecognizer.init --> 5 <====> USER_MOVE_TO_RESULT
[12:16:52,320] [INFO] GameMsgRecognizer.init --> 6 <====> USER_QUIT_RESULT
[12:16:52,320] [INFO] GameMsgRecognizer.init --> 7 <====> USER_STOP_CMD
[12:16:52,320] [INFO] GameMsgRecognizer.init --> 8 <====> USER_STOP_RESULT
[12:16:52,321] [INFO] GameMsgRecognizer.init --> 9 <====> USER_ATTK_CMD
[12:16:52,321] [INFO] GameMsgRecognizer.init --> 10 <====> USER_ATTK_RESULT
[12:16:52,321] [INFO] GameMsgRecognizer.init --> 11 <====> USER_SUBTRACT_HP_RESULT
[12:16:52,321] [INFO] GameMsgRecognizer.init --> 12 <====> USER_DIE_RESULT
[12:17:48,710] [INFO] GameMsgRecognizer.init --> 0 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:17:48,728] [INFO] GameMsgRecognizer.init --> 1 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:17:48,729] [INFO] GameMsgRecognizer.init --> 2 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:17:48,729] [INFO] GameMsgRecognizer.init --> 3 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:17:48,729] [INFO] GameMsgRecognizer.init --> 4 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:17:48,729] [INFO] GameMsgRecognizer.init --> 5 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:17:48,731] [INFO] GameMsgRecognizer.init --> 6 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:17:48,731] [INFO] GameMsgRecognizer.init --> 7 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:17:48,731] [INFO] GameMsgRecognizer.init --> 8 <====> org.hero.msg.GameMsgProtocol$UserDieResult
